№ п/п,Марка,Модель,Объем двиг.,Год выпуска,Стоимость В ЕВРО
516,ROLLS-ROYCE,PHANTOM,6800,2025,165000.0
517,ROLLS-ROYCE,PHANTOM,6800,2024,155000.0
518,ROLLS-ROYCE,PHANTOM EWB,6800,2026,169000.0
519,ROLLS-ROYCE,PHANTOM EWB,6800,2025,165000.0
520,ROLLS-ROYCE,PHANTOM EWB,6800,2024,155000.0
521,ROLLS-ROYCE,WRAITH,6600,2026,169000.0
522,ROLLS-ROYCE,WRAITH,6600,2025,165000.0
523,ROLLS-ROYCE,WRAITH,6600,2024,16000.0
524,TANK,500,2000,2026,15000.0
525,TANK,500,2000,2025,15000.0
526,TANK,700,3000,2026,23000.0
527,TANK,700,3000,2025,23000.0
528,TOYOTA,LAND CRUISER PRADO 150,2700,2024,22000.0
529,TOYOTA,LAND CRUISER PRADO 150,2800,2024,22000.0
530,TOYOTA,LAND CRUISER PRADO 250,2400,2026,25000.0
531,TOYOTA,LAND CRUISER PRADO 250,2400,2025,23500.0
532,TOYOTA,LAND CRUISER PRADO 250,2400,2024,22000.0
533,TOYOTA,LAND CRUISER PRADO 250,2700,2026,30000.0
534,TOYOTA,LAND CRUISER PRADO 250,2700,2025,27000.0
535,TOYOTA,LAND CRUISER PRADO 250,2700,2024,25000.0
536,TOYOTA,LAND CRUISER PRADO 250,2800,2026,30000.0
537,TOYOTA,LAND CRUISER PRADO 250,2800,2025,27000.0
538,TOYOTA,LAND CRUISER PRADO 250,2800,2024,25000.0
539,TOYOTA,Seqvoya,3500,2026,40000.0
540,TOYOTA,Seqvoya,3500,2025,38000.0
541,TOYOTA,Seqvoya,3500,2024,36000.0
542,TOYOTA,LAND CRUISER 300,3300,2026,40000.0
543,TOYOTA,LAND CRUISER 300,3300,2025,38000.0
544,TOYOTA,LAND CRUISER 300,3300,2024,37000.0
545,TOYOTA,LAND CRUISER 300,3500,2026,40000.0
546,TOYOTA,LAND CRUISER 300,3500,2025,38000.0
547,TOYOTA,LAND CRUISER 300,3500,2024,37000.0
548,TOYOTA,LAND CRUISER 300,4000,2026,42300.0
549,TOYOTA,LAND CRUISER 300,4000,2025,41500.0
550,TOYOTA,LAND CRUISER 300,4000,2024,40500.0
551,TOYOTA,CENTURY,3500,2026,54500.0
552,TOYOTA,CENTURY,3500,2025,53000.0
553,TOYOTA,CENTURY,3500,2024,51000.0
554,PORSCHE,718 CAYMAN,2000,2026,23000.0
555,PORSCHE,718 CAYMAN,2000,2025,22000.0
556,PORSCHE,718 CAYMAN,2000,2024,21000.0
557,PORSCHE,718 CAYMAN GT4,4000,2026,47000.0
558,PORSCHE,718 CAYMAN GT4,4000,2025,41500.0
559,PORSCHE,718 CAYMAN GT4,4000,2024,39000.0
560,PORSCHE,CAYENNE,3000,2026,40625.0
561,PORSCHE,CAYENNE,3000,2025,39584.0
562,PORSCHE,CAYENNE,3000,2024,37000.0
563,PORSCHE,CAYENNE GTS,4000,2026,56000.0
564,PORSCHE,CAYENNE GTS,4000,2025,49500.0
565,PORSCHE,CAYENNE GTS,4000,2024,45000.0
566,PORSCHE,CAYENNE TURBO,4000,2026,79167.0
567,PORSCHE,CAYENNE TURBO,4000,2025,79167.0
568,PORSCHE,CAYENNE TURBO,4000,2024,72000.0
569,PORSCHE,CAYENNE TURBO GT,4000,2026,84000.0
570,PORSCHE,CAYENNE TURBO GT,4000,2025,82000.0
571,PORSCHE,CAYENNE TURBO GT,4000,2024,81000.0
572,PORSCHE,MACAN,2000,2026,29200.0
573,PORSCHE,MACAN,2000,2025,28500.0
574,PORSCHE,MACAN,2000,2024,27000.0
575,PORSCHE,MACAN,3000,2026,37500.0
576,PORSCHE,MACAN,3000,2025,33800.0
577,PORSCHE,MACAN,3000,2024,31500.0
578,PORSCHE,MACAN GTS,3000,2026,42300.0
579,PORSCHE,MACAN GTS,3000,2025,37500.0
580,PORSCHE,MACAN GTS,3000,2024,36000.0
581,PORSCHE,MACAN S,3000,2026,34200.0
582,PORSCHE,MACAN S,3000,2025,33200.0
583,PORSCHE,MACAN S,3000,2024,32000.0
584,PORSCHE,MACAN TURBO,3000,2026,42000.0
585,PORSCHE,MACAN TURBO,3000,2025,38500.0
586,PORSCHE,MACAN TURBO,3000,2024,36000.0
587,PORSCHE,MACAN UT,2000,2026,29200.0
588,PORSCHE,MACAN UT,2000,2025,25625.0
589,PORSCHE,MACAN UT,2000,2024,23000.0
590,PORSCHE,PANAMERA,3000,2026,48960.0
591,PORSCHE,PANAMERA,3000,2025,47960.0
592,PORSCHE,PANAMERA,3000,2024,43000.0
593,PORSCHE,PANAMERA GTS,4000,2026,73800.0
594,PORSCHE,PANAMERA GTS,4000,2025,69500.0
595,PORSCHE,PANAMERA GTS,4000,2024,62000.0
596,PORSCHE,PANAMERA TURBO S,3000,2026,48960.0
597,PORSCHE,PANAMERA TURBO S,3000,2025,47960.0
598,PORSCHE,PANAMERA TURBO S,3000,2024,43000.0
599,PORSCHE,718 BOXSTER,2000,2026,33350.0
600,PORSCHE,718 BOXSTER,2000,2025,25650.0
601,PORSCHE,718 BOXSTER,2000,2024,24500.0
602,PORSCHE,718 BOXSTER GTS,4000,2026,38000.0
603,PORSCHE,719 BOXSTER GTS,4000,2025,36000.0
604,PORSCHE,720 BOXSTER GTS,4000,2024,33000.0
605,PORSCHE,718 BOXSTER S,2500,2026,38000.0
606,PORSCHE,719 BOXSTER S,2500,2025,35000.0
607,PORSCHE,720 BOXSTER S,2500,2024,32000.0
608,PORSCHE,718 CAYMAN,2000,2026,29250.0
609,PORSCHE,718 CAYMAN,2000,2025,25450.0
610,PORSCHE,718 CAYMAN,2000,2024,23000.0
611,PORSCHE,718 CAYMAN GTS,4000,2026,42300.0
612,PORSCHE,718 CAYMAN GTS,4000,2025,41500.0
613,PORSCHE,718 CAYMAN GTS,4000,2024,40500.0
614,PORSCHE,718 CAYMAN S,2500,2026,37300.0
615,PORSCHE,718 CAYMAN S,2500,2025,31900.0
616,PORSCHE,718 CAYMAN S,2500,2024,29000.0
617,PORSCHE,911 CARRERA,3000,2026,42300.0
618,PORSCHE,911 CARRERA,3000,2025,39500.0
619,PORSCHE,911 CARRERA,3000,2024,37000.0
620,PORSCHE,911 CARRERA 4,3000,2026,52100.0
621,PORSCHE,911 CARRERA 4,3000,2025,45500.0
622,PORSCHE,911 CARRERA 4,3000,2024,42000.0
623,PORSCHE,911 CARRERA 4S,3000,2026,65000.0
624,PORSCHE,911 CARRERA 4S,3000,2025,56800.0
625,PORSCHE,911 CARRERA 4S,3000,2024,54000.0
626,PORSCHE,911 CARRERA S,3000,2026,57300.0
627,PORSCHE,911 CARRERA S,3000,2025,49900.0
628,PORSCHE,911 CARRERA S,3000,2024,47000.0
629,PORSCHE,911 CARRERA GTS,3000,2026,75000.0
630,PORSCHE,911 CARRERA GTS,3000,2025,70000.0
631,PORSCHE,911 CARRERA GTS,3000,2024,65000.0
632,PORSCHE,911 GT2 RS,3800,2026,76650.0
633,PORSCHE,911 GT2 RS,3800,2025,67800.0
634,PORSCHE,911 GT2 RS,3800,2024,65000.0
635,PORSCHE,911 GT3,4000,2026,84500.0
636,PORSCHE,911 GT3,4000,2025,77100.0
637,PORSCHE,911 GT3,4000,2024,73000.0
638,PORSCHE,911 TARGA 4,3000,2026,60000.0
639,PORSCHE,911 TARGA 4,3000,2025,55700.0
640,PORSCHE,911 TARGA 4,3000,2024,54000.0
641,PORSCHE,911 TURBO,3800,2026,77100.0
642,PORSCHE,911 TURBO,3800,2025,75000.0
643,PORSCHE,911 TURBO,3800,2024,72000.0
644,PORSCHE,911 TURBO S,3800,2026,84500.0
645,PORSCHE,911 TURBO S,3800,2025,83500.0
646,PORSCHE,911 TURBO S,3800,2024,82500.0
647,FERRARI,296,3000,2026,124500.0
648,FERRARI,296,3000,2025,110000.0
649,FERRARI,296,3000,2024,100000.0
650,FERRARI,F8 SPIDER,4000,2026,125000.0
651,FERRARI,F8 SPIDER,4000,2025,84500.0
652,FERRARI,F8 SPIDER,4000,2024,83500.0
653,FERRARI,F8 TRIBUTO,4000,2026,142100.0
654,FERRARI,F8 TRIBUTO,4000,2025,123750.0
655,FERRARI,F8 TRIBUTO,4000,2024,110000.0
656,FERRARI,PORTOFINO M,3900,2026,84500.0
657,FERRARI,PORTOFINO M,3900,2025,82500.0
658,FERRARI,PORTOFINO M,3900,2024,81000.0
659,FERRARI,ROMA,3900,2026,121500.0
660,FERRARI,ROMA,3900,2025,84500.0
661,FERRARI,ROMA,3900,2024,82500.0
662,FERRARI,SF90 STRADALE,4000,2026,202084.0
663,FERRARI,SF90 STRADALE,4000,2025,201000.0
664,FERRARI,SF90 STRADALE,4000,2024,195000.0
665,FERRARI,PUROSANGUE,6500,2026,170000.0
666,FERRARI,PUROSANGUE,6500,2025,160000.0
667,FERRARI,PUROSANGUE,6500,2024,150000.0
668,CADILLAC,ESCALADE,6200,2026,42000.0
669,CADILLAC,ESCALADE,6200,2025,41000.0
670,CADILLAC,ESCALADE,6200,2024,40000.0
671,CHEVROLET,TAHOE,5300,2026,42000.0
672,CHEVROLET,TAHOE,5300,2025,41000.0
673,CHEVROLET,TAHOE,5300,2024,40000.0
674,CHEVROLET,TAHOE,6200,2026,42000.0
675,CHEVROLET,TAHOE,6200,2025,41000.0
676,CHEVROLET,TAHOE,6200,2024,40000.0
677,CHEVROLET,SUBURBAN,5300,2026,42000.0
678,CHEVROLET,SUBURBAN,5300,2025,41000.0
679,CHEVROLET,SUBURBAN,5300,2024,40000.0
680,CHEVROLET,SUBURBAN,6200,2026,42000.0
681,CHEVROLET,SUBURBAN,6200,2025,41000.0
682,CHEVROLET,SUBURBAN,6200,2024,40000.0
683,ZEEKR,9X,2000,2026,23000.0
684,ZEEKR,9X,2000,2025,22000.0
685,VOLKSWAGEN,TOUAREG,3000,2026,34000.0
686,VOLKSWAGEN,TOUAREG,3000,2025,33000.0
687,VOLKSWAGEN,TOUAREG,3000,2024,31000.0
688,VOYAH,DREAM,1500,2026,15000.0
689,VOYAH,DREAM,1500,2025,15000.0
690,VOYAH,TAISHAN,1500,2026,15000.0
691,VOYAH,TAISHAN,1500,2025,15000.0
692,VOLVO,XC90,2000,2026,23000.0
693,VOLVO,XC90,2000,2025,22000.0
694,VOLVO,XC90,2000,2024,21000.0
